,categories,text
27,['non-sexist'],Casada con el enemigo Historia verídica de una mujer española casada con un yihadista http://www.elmundo.es/cronica/2018/02/19/5a872ff9ca4741ad1d8b4681.html
28,['non-sexist'],Una maestra con 19 cargos de abuso sexual a menores fue arrestada por “realizar actos inmorales” frente a sus alumnos - Infobae. En todos lados las mujeres también son abusadoras #NiUnaMas @MinGenerosAR @EliGAlcorta #MeToo https://t.co/5dONLDCAMr
29,['non-sexist'],@cutmonstax Merece
30,['non-sexist'],Primer plano porque estoy gorda.  https://t.co/meUMI6i0LK
31,['non-sexist'],"@Keniagascon Buen relato que nos lleva a subrayar lo que el desaprensivo presidente ha logrado obtener:  el repudio y el rechazo de la gran mayoría de las mujeres...le quedan solo las subyugadas por interés, dinero o puestos..."
32,"['discredit', 'stereotype', 'active']",@domeelipa Son para keblez pora usted es una perra
33,['non-sexist'],"@Margaritarosadf @ELTIEMPO Margarita, la verdad se le dice a cualquiera por mucho dinero que tenga. El hecho de que ostente poder no los hacen intocables y mucho menos innombrables. Eres genial, una mujer luchadora y una rebelde con causa. ¡¡Adelante siempre!!"
34,['non-sexist'],Mexico arresta caravana de criminales Hondureños en Mexico. Afuera hijos de putas! Aqui no los querémos!   https://m.excelsior.com.mx/global/arrestan-a-lider-de-caravana-de-migrantes-que-desato-ira-de-trump/1271973/amp
35,['non-sexist'],"""Mujer al volante, peligro constante"", una frase popular machista en México que nada tiene que ver con la realidad. https://t.co/rvLqxrh8EL"
36,"['derailing', 'passive']",@GiselaGimenez_ Tenían la mini falda muy corta ? O andaban en un horario que no correspondía ? Capaz se lo buscaron...
37,['non-sexist'],Comunismo.La emergencia social era esto:'Kichi' niega la palabra a una mujer cuya sobrina murió 24h antes sin ayuda municipal para vivienda https://okdiario.com/espana/andalucia/2018/01/29/kichi-niega-palabra-mujer-cuya-sobrina-murio-dia-sin-ayuda-municipal-vivienda-1756559
38,['non-sexist'],SI ES UN GRAN HOMBRE Y SOBRE TODO LO CONOZCO CÓMO HONESTO Y ESO ES LO KE NECESITA EL PERÚ  https://t.co/QqPymb1zyo
39,['non-sexist'],"A ver si lo he entendido, una mujer empoderada de verdad es la que coge un rifle PERO la violencia nunca es la solución y según parece ahora las sufragistas eran pacíficas. Simplemente decid que odiais a las mujeres y acabamos antes https://t.co/pP2gfvqN24"
40,['non-sexist'],"@anluma99 @abulelrafas Mal que lo hubiera hecho como miembro del partido, pero es que... joder, era juez. Aunque el historial de Enrique López en cuanto a su estrecha vinculación al PP es largo..Y luego se asombran, fingidamente, porque creamos que la justicia está atestada de intereses políticos."
41,['non-sexist'],¡Excelente contratación! Esta chica desborda simpatía... ¡y es emelecista!!! https://t.co/m7XGhG9wrH
42,['non-sexist'],"No quieres vivir en tu shithole controlado por el cártel del tercer mundo, pero haces esto cuando Estados Unidos se apiada de tu patético culo?"
43,"['derailing', 'passive']","@AliiciaGarcia3 @DixitVila Entonces los delitos bestiales cometidos por hombres son machistas, pero los delitos bestiales cometidos por mujeres son solamente “misandria” jajajajaja! Llámele como es. Que miedo tiene? Se llama hembrismo. Punto."
44,['non-sexist'],"@dmarchant_z @diego2242455871 Desde luego, pero igualmente hay principios y valores compartidos por todos, como la justicia, igualdad, equidad, bien común, entre otros."
45,['non-sexist'],@PipeCruzGaming  wooow que alegría mi Pipe me da mucho gusto por ti  cada día me siento más orgulloso de pertenecer a #LaManada
46,['non-sexist'],"@321fenix @laurayosiam @guerrerohegh . Ambos sexos sufren lo indecible, las mujeres mas. Por culpa de su sexo, la pobreza es mas grande, son discriminadas y abusadas, se les dicen que deben hacer con su cuerpo, como deben de conducirse, ganan menos dinero por igual trabajo, no son compañeras sino amas de casa, etc"
47,['non-sexist'],"La historia de la toga no demuestra un espíritu particularmente democrático, ni de igualdad entre juezas/es y el pueblo. Más bien, todo lo contrario. Los ciudadanos romanos usaban toga para diferenciarse de los bárbaros y los esclavos."
48,"['passive', 'stereotype']",@contracomu Es la primera feminista que veo que es fea sin lucir como feminista.
49,['non-sexist'],"Les dejamos esta #lecturarecomendada: ""Hacia una criminología feminista"" de Carmen Antony. Lo pueden encontrar en nuestra web.https://t.co/rSy8qoToCZRealizamos envíos a todo el país a través de Correo Argentino. A CABA también llegamos por mensajería. https://t.co/azqHCcePXL"
50,"['passive', 'stereotype', 'discredit']","Nelson Medina:Lógica de una feminista embarazada: SI QUIERO que viva, es mi bebé SI NO QUIERO: Es un montón de células equiparable a cualquier tumor. #rebeldía"
51,['non-sexist'],@luchiriz Me parece que como cambio cultural hoy en día son el único movimiento que genera cambios (refiriéndome al feminismo) El tema que estos cambios tardan mucho realmente y en el medio es frustrante. Pero aún con eso me parece que el movimiento feminista está cambiando cosas
52,"['passive', 'discredit']","https://www.youtube.com/watch?v=LQASYChaMMYValerie Solanas, la primera feminazi que quería «cortar en pedazos a los hombres»Marcel García dice que el feminazismo tiene su origen en las ideas de una esquizofrénica paranoica. EN LA CONTRA TV necesitamos tu ayuda para seguir inform..."
53,"['passive', 'stereotype', 'discredit']",@jebus_dice Creo que es un requisito ser fea para ser feminazi
54,"['passive', 'discredit']",@PatMirror @AriathTheSage A ver si antes no se hace el akelarre feminazi.
55,"['passive', 'discredit']",#stopislam La izquierda feminazi no dirá nada de esto https://twitter.com/lancelot_xbal/status/1109411412550524928?s=19 
56,"['discredit', 'active']","la mujer. Irene pasará a la historia como lo que es, un agujero negro para el sentido común, la cuasi marquesa roja feminazi, Sra de don Coleta, la maleta de Galapagar, mujer florero sin rosa, hoy no me lavo y mañana ya lo hice ayer, doña ladilla, embajadora de la ignominia"
57,['non-sexist'],"Existen otras figuras, aparte del ""Mansplaining"", donde el punto coincidente es que el hombre minimiza a la mujer, sin que en apariencia ejerza una actitud abiertamente machista o de violencia física, aunque sí de otro tipo de manera simulada.@TEPJF_GDL Conócelas aquí  https://t.co/vJHsdXR94A"
58,['non-sexist'],@AristeguiOnline Esta persona no representa a todas las mujeres de Guerrero o del país como ella dice!Sólo representa sus intereses políticos.Por que hacer de una causa real y muy valida como es los derechos de las mujeres.Algo realmente burdo y vil por culpa de este tipo de personas
59,['non-sexist'],"@MutanteCalabaza @isaacfcorrales @TwitchES De vd que hay gente que le pone pegas a todo, ha puesto los streamers que a su gusto mejor lo hacen, si que hay mujeres streamers. Por favor dejad de decir gilipolleces y de buscarle las cosquillas a todo."
60,['non-sexist'],@pontechida Me encantaba esa película pero odio que se priorice a los onvres en espacios que mayoritariamente ocupaban las mujeres at this point
61,"['passive', 'stereotype']","@vicentedf88 Y que narices hace un menor de edad en una concentración que se sabe de antemano que no va a ser pacífica? No vayas imbecil! Y si vas y cobras, no llores, nenaza!"
62,['non-sexist'],"https://gaceta.es/europa/el-plan-migratorio-del-lobbista-de-soros-20180831-1125/ Unos pocos hijos de puta se llenan los bolsillos a cambio de llenar Europa de problemas, enfermedades, delitos y muerte."
63,['non-sexist'],Una serie fallida que muestra sólo la  cara fea de la historia y no ofrece el esplendor que tenía también Sevilla en la época. Siempre pesimistas... El guionista de 'La peste': Fue un error no incluir al historiador en los créditos https://t.co/e2RZV2GYj8 vía @elespanolcom
64,"['stereotype', 'active']","No le hice caso a los malditos estereotipos de belleza para ser mujer, mucho menos voy a hacerle caso a un pinche vato mutilado que se siente vieja y ahora dicta vocabulario / acciones a seguir.   Quédese con su peluca, hombre horrible, usted me pela las paredes uterinas. Pinche joto asqueroso."
65,['non-sexist'],"Hombres, si creen q deben tener determinación con las mujeres a qienes pretenden, no siempre es así. ""esta lista a las 7 hoy vamos a cenar"" no a todas las mujeres nos gusta eso, y tienen q estar seguro de q les dieron luz verde pa hacer eso, no así a la deriva, yo eso lo odio."
66,"['derailing', 'passive']","RT nizmycuba    Record of women hold high-level in @WhiteHouse & @realDonaldTrump Administration, and the feminists not a peep about this  - Récord de mujeres ocupando puestos de alto nivel en la @LaCasaBlanca y la Administración Trump @DJT_ES, y las feministas mudas  #MAGA #nizmy #cuba https://pic"
67,['non-sexist'],@alfredodelmazo #SalarioRosa  cada vez son mas mujeres que reciben este apoyo . Que beneficia a sus familias .
68,['non-sexist'],El presidente no quiere entender el reclamo de las mujeres indignadas por el apoyo total presidencial a Salgado Macedonio. Maquiavélica y negativa decisión.
69,"['discredit', 'derailing', 'active']",@miaa4u No vayas de digna. Tienes una actitud chula y poco de Scort.  Morirás de hambre si te dedicas solo a eso porque eres muy maleducada.  Y ahora en vez de duscutirlo serás una niñata caprichosa y me bloqueas segura jajaja Te falta educación para ser Scort
70,"['derailing', 'discredit', 'passive']","Voy a dejar las cosas claras desde el principio. Creo en la igualdad entre hombres y mujeres, igualdad de derechos y ante la ley. Condeno toda agresión hacia las mujeres pero también las de las mujeres hacia los hombres. Las denuncias falsas existen y la LIVG es la mayor mierda que un estado de derecho pudo crear."
71,['non-sexist'],"@ResacaAmerica @Alvaro10fidalgo El niño polla, ya siente que lo quiero"
72,['non-sexist'],"El resentimiento y la envidia de los perdedores, con su patético victimismo, los hunde aún más en las causas que les hizo perder."
73,['non-sexist'],"@El_Universal_Mx Ahora hay que linchar a los policías si no hacen su trabajo! Los que deberían de protegernos, nos dejan sin protección y más a las mujeres, no justifican su función, la autoridad necesita verse linchada para así hacer la función de su trabajo, son unos incompetentes."
74,"['discredit', 'stereotype', 'active']","@PabloHGconde Además lo de la princesa lo pagan sus padres ( que también ganan un sueldo), lo de la choniministra lo pagamos todos porque lo pasa a la cuenta del ministerio que se tuvo que crear para colocarla como mujer florero que es.Esa es la diferencia."
75,['non-sexist'],Poco se habla que Robert tenía dos hijos y este mismo había dejado una chica embarazada la cual perdió el hijo ROBERT FUCKBOY SISI JAKSKALSJSJ
76,['non-sexist'],@alattice2 @Andreayya1 +tenemos que concluir que es imposible que haya una real igualdad de oportunidadesE incluso resulta problemático sin intentamos reducir al máximo la desigualdad de oportunidadesPensemos en la diferencia entre un niño que nace en una familia de músicos y el que nace en una+
77,['non-sexist'],"A lo mejor Irene Montero tendría que meditar porqué ha soliviantado a feminismo. Al de toda la vida, a ese que ha hecho posible el nivel de igualdad que disfrutamos ahora.No hay más feminismo que el que entiende a las mujeres como sujetos políticos.Y esto es en contra de nadie"
78,['non-sexist'],LA EMBARAZADA MÁS HERMOSA  DIOSA  @KimberlyLoaiza_  https://t.co/Omi142fvlQ
79,['non-sexist'],Como la escoria independentista está arruinando Cataluña a pasos agigantadoshttps://cronicaglobal.elespanol.com/business/anc-omnium-incordian-delegados-mobile-mwc_123767_102_amp.html?__twitter_impression=true
80,"['active', 'discredit']","@LilxSkunK @322_305 @Dragonfap @WomanInWorld_ @Pontifex_es Por otro lado, tú eres libre de ser, SÍ, todo lo ridículo que gustes y puedes hablar como te salga de la punta de la polla ¿o tengo que decir del pollo para que tu polla no se sienta discriminada? Es que me pierdo en lo inclusivo. Y disculpa si soy bruta, soy chica de pueblo"
81,"['passive', 'stereotype']","Ayer me dijeron “Es que vos no sos una mujer sumisa” “Siempre haces lo que queres” Y eso yo lo tomaré como un cumplido, porque algunos hombres siempre buscan una mujer con la que pueden hacer y deshacer, y yo no entro en ese grupo."
82,['non-sexist'],Hay muchos hombres de cultura antes de la era de AMLO que aún deben caer #metoo
83,['active'],"Solo que ess puta de porno judio, no puede y sobre todo no debe romper a presidente."
84,"['derailing', 'discredit', 'passive']",El feminismo es un cancer social https://t.co/7TqTN7oryO
85,['non-sexist'],"@AlmeidaPP_ bueno señor, ya podemos decir que es usted un auténtico misógino me da usted mucho asco, pero no todos los hombres, solo usted!! Que falta de decencia, ética y moral, cualquier mujer le da a usted 1000 vueltas o le salta... igual de fácil https://t.co/NnxvZQlpd2"
86,['non-sexist'],"Cambiar el uso del lenguaje implica también un cambio cultural, y nos convoca a construir otro sistema de valores, otra forma de entender, de pensar y de representar al mundo.Leé la nota completa en ALTER BLOG https://t.co/ioljMetAF9#feminismo #comunicación #inclusion"
87,['non-sexist'],@MDonicella @pilmagan @TeresaMontao No es del todo cierto. Hay hombres y hombres. #notallmen
88,['non-sexist'],"ㅤㅤㅤㅤOh!, muchas gracias.. Un hombre tan joven como tu diciendo eso ¡es muy amable! Muy lindo, agradezco tus palabras en verdad.¿ Maledor ? , ¿lo dije bien?. Siento que lo he escuchado antes, pero no lo recuerdo con exactitud.. Estoy vieja, o por lo menos si mi memoria + https://t.co/71IAZhJarG"
89,"['active', 'discredit']",@52hmlg @BotCabro @Muni_Recoleta En la cárcel?... Si eres facha eres ladrona...y si eres vieja... Frigida jajajajaja
90,['non-sexist'],"Los padres o personas que opten por esta práctica pueden ""comprar un seguro que cubra sus pérdidas financieras si la subrogante no opera bajo el contrato"". #ImpactoLatino #VientresDeAlquiler #gestación #salud #mujeres #vientres #NuevaYork #nyc https://t.co/jrE1JVbBnC https://t.co/hVqYzd4qBr"
91,['non-sexist'],Ustedes están acostumbrados hacer lo que les da la gana con las mujeres y cuando llega un mas hp que ustedes no saben ni qué hacer
92,['non-sexist'],"NO ES JUSTO QUE LAS MUJERES DEBAN TEMER POR SUS VIDAS, NO DEBERÍAN SER VULNERABLES A ABUSADORES COMO JOAQUÍN LEONEL PEREZ NI VIVIR CON EL CONSTANTE MIEDO DE QUE PUEDEN SER LAS SIGUIENTES.MILAGROS MERECE VIVIR SEGURA Y TRANQUILA #DejalaEnPaz"
93,"['stereotype', 'passive', 'discredit']","Me sorprende ver estados de chicas o amigas que conozco muy bien,  que ponen, ""gracias a mi mamita por enseñarme a no ser una mantenida por un hombre"" JAJAJAJAJAJAJAAJJ,pero las mantiene los padres, caras rotas, yo las conozco a ustedes, por FB son una cosa."
94,['non-sexist'],Vivo al frente de una mujer gigante durmiendo...La ven? https://t.co/gIZvQJFmEn
95,['non-sexist'],Racismo contra blancos: Cómo chicas menores de edad son indoctrinadas en escuelas para ser madres de hijos inmigrantes  #WhiteGenocide #Kalergi #Zanzu #EU paraíso proxeneta  http://brd-schwindel.ru/rassismus-gegen-weisse-wie-maedchen-an-schulen-zu-migrantenmuttis-ausgebildet-werden/
96,['non-sexist'],@BrunoVGalloLA SALAZALERA  El día de San ValentínTambién del enamoradoHoy no es tan celebradoCon ese olor a jazmínDe aquel hermoso jardínQue el catorce de febreroHacía gala un caballeroPara enaltecer con rosasA la mujer más preciosaSe ve apenas el florero
97,"['discredit', 'passive', 'derailing']","@ExpertoIgualdad El hilo y los citados es una clara demostración de que el hembrismo existe. Mucha niña mimada, el problema no es que ellas estén en esa fase es que sus lloriqueos infantiles hoy en día se toman demasiado en serio."
98,['non-sexist'],"Wey me faltaron chingo de fotos embarazada por subir, y ahora ya no puedo porque ya nació la bendi"
99,['non-sexist'],@anitaee73 @rocioglzm  yo jamas lo lleve jajajajaja pero me encanta fregar a la amiga...jajajaja
100,['non-sexist'],@ElCompaDerpy Tus argumentos son estos:Me la suda todo el mundo por que soy un desagradecido que no se ha informado de una puta mierda y sobre.Me pareces una mala persona que solo piensa en lo que le viene bien a el.
101,['non-sexist'],"@MasculinistaI @mariazamorarj @saezatxa @deborahciencia No creo que haya un sistema que favorezca a las mujeres como el machismo, pero como ideología, si que está instaurada en cierto sector que, en mi opinión, hace mucho daño al (más que imprescindible) feminismo."
102,"['sexual_harassment', 'active']",@29nov2003 zorra de mierda te voy a cortar ña yugular y a darsela de comer a mi perro para que cuando la cague le meta mi dura y excitada polla a el descomunal zurullo compuesto por tus músculos  respiratorios
103,['non-sexist'],#PUBGM #LAMANADA CAMPEONES!Nuestra escuadra de PUBG Mobile se consagro campeona de la Latam Pro League - 3ra División y logro el ascenso a la 2da división. Felicitaciones a todos nuestros lobos.#FlowNocturns https://t.co/9nIYRJwmxT
104,"['passive', 'stereotype', 'discredit']",Twitter es la mayor casa de putas que existe ahora mismo.Toda la escoria tiene refugio ahí
105,['non-sexist'],Trump SÍ se lo merece !!!   Dieciocho congresistas republicanos proponen a Trump para el Premio Nobel de la Paz  http://www.elmundo.es/internacional/2018/05/03/5aeb38bd22601d16378b45b4.html
106,['non-sexist'],"@gonzalowinter Da datos sino nadie te cree lo que hablas, “muchos“ es una palabra muy abstracta, tu lenguaje no verbal indica que esto es solo un video para la galucha que reacciona al victimismo."
107,"['passive', 'discredit']",@ZenTao14 @Nievessebastia1 @Aurorarradical @redlgb_ @SoniaVivasRive3 Las sentencias en firme no son acoso. Lo que tiene no vivir en el mundo de la magufada sentida es que sabes que este tipo de cosas pueden suceder: ¿Merece la pena que se ponga en riesgo a mujeres solo porque hay hombres que dicen sentirse mujer?
108,['non-sexist'],"Audre Lorde, la poeta crítica con el feminismo blanco https://t.co/oX4h3aQTCo"
109,"['dominance', 'active']","@Kaenxxxx bueno ese es tu problema claramente, el decir que no te quiero cortar por que te pareces a mi amiga muerta y que hay cosas que prefiero no cortar, significa que ve a las mujeres como si fueran inferiores? no tiene sentido alguno."
110,['non-sexist'],"@Kara_Webbo lo de siempre un hombre diciendole a las mujeres como deben ser mujeres... para empezar que tiene de feminismo a transexualidad, es como si el feminismo se tuviese q encargar de todos los movimientos sociales tan solo pq somos mujeres no? es el colmo del patriarcado"
111,"['stereotype', 'active']",@cherry_bottomz HERMOSA ATRACTIVA DULCE SENSUAL PROVOCATIVA CON EXQUISITO TRASERO PARA DEBORARTELO ⚘
112,"['stereotype', 'passive', 'discredit']","Sin ofender, las mujeres son 10 veces más habladoras que los pibes, en todo sentido"
113,['non-sexist'],"@calmarma Absolutamente todas las disputadas presentes son mujeres. Vaya excusa de mierda, señoro rancio."
114,['non-sexist'],"Opinar es libre,siempre desde el respeto, eso no implica no ser buena seguidora ni muchísimo menos.Estoy cansada de leer a las absolutistas del fandom sentenciando a otras por simplemente opinar distinto.Basta ya! Limones señoritas"
115,['non-sexist'],"@traficovhsa_ TRANSPORTE: COMBI VERDE DE LAS ""MERCEDES""SEÑORITAS, JOVENCITAS Y SEÑORAS: Tengan cuidado con el CHOFER d la combi No. 03 d la RUTA: LAS MERCEDES-PARRILLA. El chofer (un gordo) es una persona MUY GROSERA, VULGAR Y LÉPERA y si le reclamán se comporta d forma VIOLENTA https://t.co/BaQbygGmrU"
116,['non-sexist'],"""Como Federación, estamos poniendo nuestro personal técnico al servicio de los ayuntamientos fortalecer las Unidades de Gestión Ambiental, con apoyo de @UnionEuropeaRD y en estrecha coordinación con @AmbienteRD""@KelvinAlcalde, presidente de Fedomu https://t.co/Uif70dKDwD"
117,"['dominance', 'stereotype', 'passive']","Una sociedad sana es una sociedad sin feminismo, sin marrones, sin homosexuales, sin transexuales,  sin pedófilos y delincuentes, sin drogadictos, sin cualquier tipo de persona degenerada (que lleve tatuajes, pircings, pelo de colores, gente presumiendo de obesidad, mujeres sin depilar...) con las mujeres cuidando de la casa y de los niños y con los hombres trabajando y prptegiendo a la familia"
118,['non-sexist'],Ojalá los terraplanistas tuvieran razon porque vaya cosa mas fea por culpa de la curvatura pof https://t.co/pJusgnjpgj
119,['non-sexist'],Deseando que haya un App de GAB y mandar a tomar por culo el Judeo Twitter y sus putos narizotas y esclavos goyim
120,"['stereotype', 'passive']",- Parece que lo de Franco ya no distrae como antes y lo mismo la gente empieza a darse cuenta de nuestra nefasta gestión  + Putas  - ¿Putas?  + ¡Putas!  - ¡Pues vamos con las putas!
121,['non-sexist'],@maic00n__ Mitoooo #mgtow #gayscombolsonaro #lgbt
122,"['passive', 'derailing', 'discredit']","@lucianacadahia Claro que las feministas no es que representen la igualdad, en estricto sentido."
123,['non-sexist'],Hoy iniciamos una campaña dirigida a la unión de Amarantia y el empoderamiento de nuestras mujeres. Esperamos nos acompañen y hagan parte de este camino #PorUnaAmarantiaUnida #LasMujeresTambiénPodemos
124,['non-sexist'],pendejo te vou a poner los cornos del boy nelo to culo te vas  a lembrar para sempre
125,"['derailing', 'discredit', 'sexual_harassment', 'passive']","@ferbelaunzaran @abasave Los seguidores de AMLO son como las mujeres golpeadas, mejor se quedan y apoyan pensando que ahi los quieren mas que en otro lado, y no saben de amor propio ni amor por los demás. Pegame pero no me dejes."
126,"['non-sexist', 'non-sexist']","Condenados por abuso sexual a nueve años de cárcel los miembros de 'La Manada'Sin embargo, la Audiencia de Navarra los ha absuelto del delito de agresión sexual y del delito contra la intimidad.http://www.eitb.eus/es/noticias/sociedad/detalle/5553139/sentencia-juicio-la-manada-fallo-violacion-grupal-sanfermines-2016/"
127,['non-sexist'],#VENEZUELA Son acusados de socavar la democracia o de violar derechos humanos en el país sudamericanohttps://t.co/e6lKhsrS3Y
128,['non-sexist'],Acaban de condenar al opositor Alexéi Navalni a tres años y medio de cárcel por violar los términos y la libertad condicional de una condena que le habían impuesto en 2014. Menuda imagen democrática está dando Rusia.
129,"['dominance', 'sexual_harassment', 'active']",Y la verdad es que cogia como una perra....se aguantaba dos por abajo y mamaba a otros dos a la vez.... Caliente la mami eh....
130,['non-sexist'],"@BrujaVerde5 @melukaler @Angelalerena @lalomirlo #Notallmen porsupuesto, no me voy hacer cargo de los malos comportamientos de los demás. ojo con esos deconstruidos de cartón, yo me porté bien toda la vida, no vale lo mismo a un violento que se hace el progre de hace un año. no somos lo mismo, allá cada uno con quien se junta."
131,"['stereotype', 'active']",@Iaaruu_bj Me encanta tu culo wacha
132,"['passive', 'stereotype']","@aldanabsldo No entiendo a los gays, pero puedo llegar a entender a las lesbianas o mujeres bi  Mira que minoonn"
133,"['active', 'dominance', 'stereotype']","@JNominas Jose... tu eres el feminista, Hassel ha llamado ZORRAS a varias mujeres xD eso según tú, es VIOGEN y por tanto un delito."
134,['non-sexist'],"Espero que no sea la SEÑORA POTTS. Puedo lidiar con las Señoritas, la Señora Potts me da respeto."
135,"['stereotype', 'passive']","Los judíos plantarán su museo del holocausto delante del Parlamento inglés, estropeando las vistasLa verdad que sí, siempre jodiendo al gentil. Y los parlamentarios de la más antigua democracia callaos como putas a sueldo que son...https://tinyurl.com/y2kx88bw"
136,['non-sexist'],"@iBrykiller @kErko_dK_ @0Lxved @klouz_z a ver para mi ibry no es malo xd solo bromea y tiene su opinion de las mujeres en forma de broma, aparte no le esta disiendo cosas obsenas, esta diciendo lo que diria una mujer tambien (no todas) asi que la culpa no tiene nada, y si le hacen exposed no le pasara nada"
137,['non-sexist'],"La noche del viernes al sábado en V. de Icíar se procedió a la detención de un hombre por causar lesiones a su mujer. #ViolenciaDeGenero y alcoholemia al volante en #AlcorcónAnte estos comportamientos, tolerancia cero. https://t.co/vAtosBog18 vía @alcorconhoy"
138,['non-sexist'],La Verdad del Socialismo:   La política de ser generoso con lo ajeno —que no es otra cosa que la política de violar el derecho de propiedad— ha transformado al victimario en noble y a la víctima en delincuente  María Marty.
139,['non-sexist'],"Es muy triste , no imagino estar en los pies de esa mujer, desprotegida por la ley, no saber para donde correr, es terrible, los #policias entongados y tapandose entre ellos. Locx no nos olvidemos de #Ursula #UrsulaBahillo , me recuerda a un caso en San Lorenzo #PaulaPerassi . https://t.co/1rf9xNv9Ty"
140,"['stereotype', 'discredit', 'passive']","¿Cómo va el 2021? Que al final va lento pero sin pausa con las sorpresas...Me pregunto como va el feminismo en el oriente medio y áfrica... Ah no espera, que están muy ""ocupadEs"" ayudando a los violadores ""victimas de la sociedad"" a través del daño a la propiedad..."
