,test_case,id,source,language,text,task1,task2
3469,EXIST2021,3470,twitter,es,"En los últimos años, Rusia ha sido escenario de varios de los juicios por asesinatos en serie con más víctimas en el mundo, incluyendo un caso con 78 víctimas, y otro con 48. https://t.co/gU0tPutbdc",non-sexist,non-sexist
3470,EXIST2021,3471,twitter,es,@v1ctoriasensual ummmm q serradita amor se mira q eres muy estrecha,sexist,objectification
3471,EXIST2021,3472,twitter,es,"¡A ti, mujer luchadora! (Jorge Acuña)""Mujer trabajadora, rebelde y soñadoraLlena de defectos y grandes virtudesLlena de amor y comprensiónLlena de coherencia y firme convicciónDe un profundo compromiso con la revolución""#DiciembreVictorioso",non-sexist,non-sexist
3472,EXIST2021,3473,twitter,es,"NARANJA QUE TE QUIERO NARANJA https://t.co/yZyNbQ3Lt9 Bueno, yo siempre he dicho que Claudia es una mujer atractiva.. pero el maese Magú se empecina en hacer unos monos re gruesos..Verde que te quiero, verde..Era el refrán.. no?En fin, lindo cartón..Va.. putitos con tos..",non-sexist,non-sexist
3473,EXIST2021,3474,twitter,es,@CarlosGarcia09 Noche golfa?,non-sexist,non-sexist
3474,EXIST2021,3475,twitter,es,"""Cuando las mujeres han podido comprar sus propias prendas deportivas en alguna tienda deben conformarse con la talla masculina más chica, porque la oferta para mujeres no existe""; un texto de  texto de @glaseadodementa https://t.co/yWSYGLX6GP",sexist,stereotyping-dominance
3475,EXIST2021,3476,twitter,es,"Ataraxia:Me evado bajo la membrana rígidadel agua frígida de la que emanadichosa psique que desmiembra mi calmacada mañana y madrugada,y la envuelve en cálidas sábanascreadas en las costurasde tus palabras a mi alma.",non-sexist,non-sexist
3476,EXIST2021,3477,twitter,es,Busco mujer que viva en Torrevieja o cerca de Alicante para follar,sexist,objectification
3477,EXIST2021,3478,twitter,es,Este Néstor Humberto es la peor escoria https://t.co/JzUiXPFo3m,non-sexist,non-sexist
3478,EXIST2021,3479,twitter,es,Chicas me había olvidado l letra de this is what it takes la puta madre,non-sexist,non-sexist
3479,EXIST2021,3480,twitter,es,Gracias por apoyar a las mujeres q más lo necesitan https://t.co/bq2I4IDIkl,non-sexist,non-sexist
3480,EXIST2021,3481,twitter,es,@flormolina30 Siempre frida nunca frigida! ♥,non-sexist,non-sexist
3481,EXIST2021,3482,twitter,es,"busco mujer q quiera ser felizrequisistos para estar con santi dumrauf:*edad:16-30*estatura:1,60-1.79*tetas y culo me da igual*q se lave los dientes*q sea de sagitario libra acuario aries o virgo (mm)*q le guste follar duro y salvaje y también tierno y mimoso.",sexist,objectification
3482,EXIST2021,3483,twitter,es,"[Pedicabo ego vos et irrumabo] es una frase latina muy popular. Hay traducciones muy pasionales, así como hay otras más cercanas al texto latino. ""Paedico"" se traduce como sodomizar e ""irrumo"" se traduce como insertar violentamente un pene dentro de la boca. https://t.co/soZy7uWf2N",non-sexist,non-sexist
3483,EXIST2021,3484,twitter,es,"Además no entiendo, porque se legalice el aborto no van a salir todas las mujeres a abortar, todo lo contrario, en los países que es legal se aborta menos, entonces deberian apoyar la legalización, aparte es sencillo, quien no quiera abortar que no aborte, no te obligan",non-sexist,non-sexist
3484,EXIST2021,3485,twitter,es,Es impresionante como algo tan fantástico como el satisfyer llega a convertirse en un aparato de tortura en las manos de un hombre oye... Ni eso hacen bien.,non-sexist,non-sexist
3485,EXIST2021,3486,twitter,es,"@elenaaabon @Conde_Macula Es que dentro de poco, vamos a tener que castrarnos, por ser solamente hombres... Que hay mucho hijo de puta violador, maltratador etc... Lo sabemos todos, pero se están pasando con el feminismo radical",sexist,ideological-inequality
3486,EXIST2021,3487,twitter,es,"Si el hombre siempre ha sido el ser superior y dominante, y la mujer la ""sumisa""... ¿Cómo se equilibra esto buscando la igualdad y que ninguno sea superior a otro? Pues protegiendo a la mujer, no vas a proteger al hombre...",sexist,ideological-inequality
3487,EXIST2021,3488,twitter,es,@ElHuffPost @eltelevisero Quiso censurar. Monasterio valiente como pocas.La verdadera mujer empoderada!,non-sexist,non-sexist
3488,EXIST2021,3489,twitter,es,"qué tan mierda de persona tenes que ser para desearle eso a 4 mujeres que nunca te hicieron nada? y aún así no las quieras o no las aguantes NUNCA deberían hablar así de ellas ni de ninguna otra mujerme importa un choto si lo decía posta o para joder, se van a la mierda ls odio",sexist,misogyny-non-sexual-violence
3489,EXIST2021,3490,twitter,es,"Queremos que más mujeres participen conmigo , no para que me vean bien las feministas es que la mujer es más entregada ( ¿ sometida?) más honesta , más obediente",sexist,stereotyping-dominance
3490,EXIST2021,3491,twitter,es,¿Follar se puede o tampoco? Es que no me ha quedado claro  https://t.co/rf7DNQomSN,sexist,objectification
3491,EXIST2021,3492,twitter,es,"JAJA Waka Waka esto es Africa. Que papel triste, mediocre, decadente hace esta mujer. Nada mejor puesto el mote de Florero. https://t.co/FWok7WsNRc",sexist,stereotyping-dominance
3492,EXIST2021,3493,twitter,es,"@jho_______ Hola, si consideras vulnerados tus derechos, inicia la vía administrativa enviando un derecho de petición ante ellos, deben responder en un término de 15 días hábiles, revisa en el ítem 3, información valiosa sobre cómo proceder: https://t.co/F5wGpsHTUN, feliz tarde.",non-sexist,non-sexist
3493,EXIST2021,3494,twitter,es,Desde que nacemos nos enseñan a diferenciar a la perfección de lo que está bien o lo que está mal.¿Sacar buenas notas? Perfecto.¿Que se comporta como una señorita? Bien.¿Que quiere llevar una falda corta?muy puta.¿Delgada? Éxito ¿Gorda?Perdedora¿Que llora?Infantil...,sexist,stereotyping-dominance
3494,EXIST2021,3495,twitter,es,"@dianathamara3 @Flor19705 @NicolasdelCano Todo a su debido tiempo, a ti no te enseñaron nada 3 dias después de nacer, ya que no estaba en tus capacidades, es igual con el feto",non-sexist,non-sexist
3495,EXIST2021,3496,twitter,es,"Volví a fumar, y sí, detesto el hábito y el daño que me hace a nivel físico, pero no puedo negar que amo el olor del tabaco en mi ropa mezclado con mi perfume. No hay explicación, pero me hace sentir atractiva.",non-sexist,non-sexist
3496,EXIST2021,3497,twitter,es,@gaspipd Las feministas sin padre no piensan igual,sexist,ideological-inequality
3497,EXIST2021,3498,twitter,es,"Pasamos por aquí para recordarte lo fuerte, poderosa y hermosa que eres. Nunca dudes de ti, y siéntete orgullosa de tu fuerza. ¡Etiqueta a las mujeres ejemplo de empoderamiento en tu vida y recuérdales lo hermosas que son por ello! https://t.co/oNhfoAqC6K",non-sexist,non-sexist
3498,EXIST2021,3499,twitter,es,Mi primer #terremoto y me he cagao como una guarra JAJAJAJAJAJA,non-sexist,non-sexist
3499,EXIST2021,3500,twitter,es,"@AnaMontaa8 -Hola buenas, querría un poco de feminismo.- Del que busca la igualdad no nos queda- Pues ponme del de la Rae.- Puede ir con trazas de patriarcado.- Que patriarcado?- El Doleras- Bueno, mejor que el de Irantzu es, se traga mejor.- Donde va a parar!",sexist,ideological-inequality
3500,EXIST2021,3501,twitter,es,"@This_Juliana_ @estibalizfeito Igual insisto, los tratan mal pero quieren que les aplaudan. No se que opines tu pero suena hasta un tanto masoquista. Y la verdad no creo que todos los hombres sientan un nivel de superioridad a la mujer. Mas bien es un punto de vista en el cual tu puedes acordar o disuadir.",non-sexist,non-sexist
3501,EXIST2021,3502,twitter,es,Jodeme que kim esta embarazadahttps://t.co/6PWeH0OLjd,non-sexist,non-sexist
3502,EXIST2021,3503,twitter,es,"@emuyshondt @alcaldia_ss @ssestuyo_ Come mierda pendejoHay andas regalando laminas, que putas va hacer la gente con 2 laminas",non-sexist,non-sexist
3503,EXIST2021,3504,twitter,es,La chica sin M es hermosa,non-sexist,non-sexist
3504,EXIST2021,3505,twitter,es,"@laCuerda2 Amigas:¿Por qué no dejan ya la matraca del ""sistema patriarcal""? Le dan la connotación de ser -los hombres- causantes de todos los males, desgracias y cuanto defectuoso se encuentre por ahí.",sexist,ideological-inequality
3505,EXIST2021,3506,twitter,es,Le pido el mundo que preste mucha atención existen Houston esclavitud a la prostitución robó y mujeres y hombres deben de pagar una cuota diaria para poder vivir el jefe de estado en Houston se llama Daniel Crespo o Daniel 80 de la ciudad de Manzanillo en Cuba granma,non-sexist,non-sexist
3506,EXIST2021,3507,twitter,es,@TH1KYOO q puta ahora tengo miedo,non-sexist,non-sexist
3507,EXIST2021,3508,twitter,es,que bronca me da cuando netflix te pregunta ayññ seguis ahi?? y si mogolico donde poronga me voy a ir me haces sentir una gorda de mierda que no se levanta del sillon para nada igual eso es lo que soy pero tampoco para que me lo recuerdes viste,non-sexist,non-sexist
3508,EXIST2021,3509,twitter,es,@vivicanosaok Rubia tonta a full !!!!,sexist,stereotyping-dominance
3509,EXIST2021,3510,twitter,es,@tumbaburross @BaksLive @EstefaniaVeloz Anda muy rebelde tú mujer Tumba,sexist,stereotyping-dominance
3510,EXIST2021,3511,twitter,es,"Están los medios q azuzan el odio y piden represión contra los q piden #ViviendaSiRepresionNo y está @izquierdadiario junto a #GuernicaDePie En la vida hay que elegir. Y nosotros elegimos: junto al pueblo trabajador, las valientes mujeres y las pibas y pibes que luchan x lo suyo https://t.co/15uMidIiVd",non-sexist,non-sexist
3511,EXIST2021,3512,twitter,es,Rebelde? La niña ya es mujer #verdadesocultas,non-sexist,non-sexist
3512,EXIST2021,3513,twitter,es,"@MaraBrawer El mayor insulto, agravio o amenazas, es el nuevo KKK que pretende asesinar niños y mujeres por aborto, llamado feminismo.#AbortoLegal2020 https://t.co/ufOLTqDizZ",sexist,ideological-inequality
3513,EXIST2021,3514,twitter,es,@Libr_Benedetti Me parece vergonzoso y además tirando de victimismo. Apoyar a la poesía o a autores minoritarios no te exime de cumplir contratos.,non-sexist,non-sexist
3514,EXIST2021,3515,twitter,es,@sabinaberman Voy por mi cumpleaños 63 y apoyo decididamente que cada mujer sea libre para decidir sobre su cuerpo. #QueSeaLey,non-sexist,non-sexist
3515,EXIST2021,3516,twitter,es,"Hoy visitamos la @BacBiblioteca en el marco del Día Internacional de las Personas con Discapacidad. Junto a su comisión directiva, @andiscapacidad y @redi_derechos, dialogamos sobre el trabajo por delante en materia de políticas públicas para mujeres y LGBTI+ con discapacidad. https://t.co/HK2epKxl7j",non-sexist,non-sexist
3516,EXIST2021,3517,twitter,es,"#EducaciónInclusiva | Todos tenemos características diferentes, juntos construyamos un mundo con igualdad de derechos. Desde @Educacion_Ec generamos aprendizajes significativos, mediante la convivencia armónica entre todos los miembros de la comunidad educativa. #SembramosFuturo https://t.co/CSYLH8ULUE",non-sexist,non-sexist
3517,EXIST2021,3518,twitter,es,"@Mdazcrdba Hola, protege tus derechos enviando una queja al operador, te brindarán un CUN y deben responderte máximo en 15 días hábiles, si no estás de acuerdo con la gestión entra a SIC Facilita https://t.co/qKOWE7rXhK, alternativa ágil de respuesta al ciudadano, feliz tarde.",non-sexist,non-sexist
3518,EXIST2021,3519,twitter,es,"La UAC no tolerará conductas inapropiadas como el acoso y hostigamiento sexual, asegura el rector José Román Ruiz Carrillo al presidir la presentación del Diagnóstico de Acoso y Hostigamiento Sexual en estudiantes de la Máxima Casa de Estudios. https://t.co/G9q8JZzusi https://t.co/OggSuQuXor",non-sexist,non-sexist
3519,EXIST2021,3520,twitter,es,?Algun dia dejaras de doler tanto mes de diciembre? Solo soy una coraza de hierro para aguantar tus dias y mis lagrimas amenazan con asomar y mi mirada se pierde en tu recuerdo padre de mi alma.,non-sexist,non-sexist
3520,EXIST2021,3521,twitter,es,Era incomodo ser mirado por mujer con esa misma mirada en medio de tantas mujeres y estar siendo modelo para estar usando ropas y cumpliendo trabajo.- Ella en su mente dijo: ¨Es igualito a su padre en el porte y la elegancia¨ https://t.co/8wR8h9LCm1,non-sexist,non-sexist
3521,EXIST2021,3522,twitter,es,"Fregar a las 12 de la noche es una personalidad y es la mía. Para luego volver a fregar a las 9 de la mañana, si.",non-sexist,non-sexist
3522,EXIST2021,3523,twitter,es,"Hoy en el #DíaInternacionalDiscapacidad recordemos que asambleistas y personajes del gobierno luego de engañar al estado, junto a la @Presidencia_Ec y @Salud_Ecson cómplices en violar más derechos a los ciudadanos https://t.co/5iGOi7f7Lh",non-sexist,non-sexist
3523,EXIST2021,3524,twitter,es,Feministas Morelianas Exigen Al Congreso Legalización del AbortoLas feministas pasaron al rededor de 2 horas a fuera de las instalaciones del Congreso hasta que las dejaron entrar Toda la info: https://t.co/aszGVc8dKg https://t.co/IKQq147mtb,non-sexist,non-sexist
3524,EXIST2021,3525,twitter,es,"Tengo que trabajar sabado, lunes y martes  Esto merece que MÍNIMO me ponga en blanco el hdrmp",non-sexist,non-sexist
3525,EXIST2021,3526,twitter,es,siento q me caen todos para el culo pero hay q disimular,non-sexist,non-sexist
3526,EXIST2021,3527,twitter,es,"@DeepConu @SR_OK La puta madre melo, estaba buscando este hilo lara etiquetarte y acabo de desistir porq lo habia perdido !!!",non-sexist,non-sexist
3527,EXIST2021,3528,twitter,es,mi mamá es una amante de gatos reprimida. Prove me wrong,non-sexist,non-sexist
3528,EXIST2021,3529,twitter,es,"Y se armo la fiesta a golpes #LaManada en pleno, por la honra de Rosario #LaHijaDelMariachi https://t.co/O37E8u1oO7",non-sexist,non-sexist
3529,EXIST2021,3530,twitter,es,"@rennoaltocampoo Tranquilo en su palacio, el sabe no está entre los 26 millones de ciudadanos, hombres, mujeres, niños, ancianos que quieren ASESINAR???",non-sexist,non-sexist
3530,EXIST2021,3531,twitter,es,"@_PabloFdez_ ¿Tú también reías cuando tu amo decía que iba a azotar hasta sangrar a una mujer? , ¿tú también azotas a las mujeres?",sexist,misogyny-non-sexual-violence
3531,EXIST2021,3532,twitter,es,"la reconstrucción de personajes masculinos a femeninos (Spider Woman, Capitana Marvel, Supergirl...) apoya y cimenta la idea de que ciertas mujeres no pueden ser exitosas debido a ser mujeres y necesitan de hombres para construir su personalidad y su éxito",sexist,stereotyping-dominance
3532,EXIST2021,3533,twitter,es,Miranda Cosgrove paso de ser una perra mala a una mojigata aljsdalkjdsd https://t.co/uT8Sb7dr2g,sexist,misogyny-non-sexual-violence
3533,EXIST2021,3534,twitter,es,"La mayoría de las veces juzgamos a los hombres y mujeres que viven una relación tóxica, en la que frecuentemente hay agresiones y malos tratos.Hoy te invitamos a no señalar y a ser empático, solo así podrás ayudarle a esa persona a reescribir su historia. .  #YoDigoNoMas https://t.co/OoMRFqnx5I",non-sexist,non-sexist
3534,EXIST2021,3535,twitter,es,DE MÉXICO PARA EL MUNDO #RESPETO #YoSiTeCreo https://t.co/lvFwmBnkmT,non-sexist,non-sexist
3535,EXIST2021,3536,twitter,es,"@UnionDeLuchas Fue muy triste , lo recuerdo, ""Hay hombres q no quieren a las mujeres"", no entiendo por qué de casan, este era de otra época, en la actual deberían pensarlo antes de casarseA la mujeres un consejo los ""príncipes azules no existen"" , cuidado con los q conocen...",non-sexist,non-sexist
3536,EXIST2021,3537,twitter,es,@gabrielboric Siguen fieles a su concepción estrecha eso si.,non-sexist,non-sexist
3537,EXIST2021,3538,twitter,es,"Te quiero follar hasta romperte las piernas. Eres una niña mala, una niña mala, ¿Te gusta eso? Sí, te encanta. Maldita puta ofrecida. Vamos, gímeme, sigue gimiendo. No te detengas, pequeña zorra ofrecida. ¿Te gusta esto? Sí, te fascina, te excita, mh. /rugirle.",sexist,sexual-violence
3538,EXIST2021,3539,twitter,es,"@pedroferriz3 Nooo las mujeres que te gustan son del estilo de la amante de tu papá, esa mujer que hablaba de la infección vaginal que le pego tu papá COMO SE LLAMA? ALGUIEN SABE?",sexist,misogyny-non-sexual-violence
3539,EXIST2021,3540,twitter,es,@alegraa10 la polla me menciona todo el mundo en esto jajajajajajaaj,non-sexist,non-sexist
3540,EXIST2021,3541,twitter,es,"Gracias por la valentía de exponerte después de las cosas que se dijeron con respecto a las mujeres que deciden abortar.Que todo sirva para entender que el aborto existe, el debate es legal o clandestino.#QueSeaLey  Te abrazo @CECILIAMOREAU https://t.co/2MsSGbTxPr",non-sexist,non-sexist
3541,EXIST2021,3542,twitter,es,Estaré embarazada o por qué tendré tantas ganas de tener una plaza en el ISSSTE?,non-sexist,non-sexist
3542,EXIST2021,3543,twitter,es,"Delinquir es violar la ley, sencillo; una pena que algo tan básico esté lejos de tu alcance. https://t.co/94slIXX5Kv",non-sexist,non-sexist
3543,EXIST2021,3544,twitter,es,@Budaenperu @eloymarchan @ensustrece Que fea prensa y la gente lo tiene como semidiós. Nunca voy a olvidar la carátula de su semanario donde veía  los cuerpos ataúdes de los primeros muertos del coronavirus como la prensa chicha que él tanto se quejaba,non-sexist,non-sexist
3544,EXIST2021,3545,twitter,es,"@Vkthery No entiendo la necesidad o el afán de decirle a la gente si está gorda o flaca, como si eso les afectara o que!",non-sexist,non-sexist
3545,EXIST2021,3546,twitter,es,@clarincom Esto solo aclara que como digna hija de Leopoldo ya era lugerita de chica,non-sexist,non-sexist
3546,EXIST2021,3547,twitter,es,@lebiram34980787 @asifuevalencia Jesús Vázquez  .tú eres noble y dices lo que tú corazón siente Pantoja se merece esas palabras,non-sexist,non-sexist
3547,EXIST2021,3548,twitter,es,"@SobrinoV_Edu Esta muerto de miedo como tu club, que en un campo de juego fue vergonzoso y bien merecido el descenso, ahora es de hombre asumirlo y no estar de llorón con algunos periodistas para meter presión para que se mantengan son tan impresentable como Lozano.",non-sexist,non-sexist
3548,EXIST2021,3549,twitter,es,"Si hoy no llevas corsé puede que sea gracias a   ella, y si eres mujer y has estudiado en universidad española, en parte también...#MujeresInvisibles#Pioneras @cero Dolors Aleu, la ginecóloga rebelde contra la opresión del corsé https://t.co/leBisfxyck vía @agencia_sinc",non-sexist,non-sexist
3549,EXIST2021,3550,twitter,es,"Esta GENERACIÓN LAGARTONA CONSERVADORA ya no debe tener espacio en el pais. Ya pasaron más de 30 anös y siguen con pensamientos cojudos, retrógrados, y explotadores del régimen laboral. Terminemos el 2021 con la #GeneraciónASILO y enviémoslos a su casa for good!@CoordinadoraRep https://t.co/t5vjjz86tI",non-sexist,non-sexist
3550,EXIST2021,3551,twitter,es,"@FBuenAbad Respeto a la vida, a la dignidad del hombre (incluido la mujer) y libre desempeño de la personalidad. Eso es el chavismo para mi. Creo que el socialismo es solo una doctrina de organización social basados en principios científicos y morales con fines de convivencia armonica!",non-sexist,non-sexist
3551,EXIST2021,3552,twitter,es,@andres_trasado @KyriosCV Qué es majors? Conozco majorettes. Por qué vas a criticar majorettes? #metoo,non-sexist,non-sexist
3552,EXIST2021,3553,twitter,es,"@gmpsantander Las mujeres sordas, con baja audición, no verbales o sordociegas víctimas de maltrato pueden llamar al 016 con 900.116.016, SVisual, ALBA, Telesor, ATENPRO y la app PorMí. Al 112 con la app 112Accesible. Al 091 y 062 con SVIsual y app AlertCops. #ViolenciaMachista #Accesibilidad",non-sexist,non-sexist
3553,EXIST2021,3554,twitter,es,DEJO QUE SU MUJER SE FUERA TODO EL FIN DE SEMANA A FOLLAR CON SU EX https://t.co/5Ug61DOLZP,sexist,sexual-violence
3554,EXIST2021,3555,twitter,es,"@IreneMontero Díselo a tu marido, que además de soñar con azotar mujeres le gustaba mucho Maradona.",sexist,misogyny-non-sexual-violence
3555,EXIST2021,3556,twitter,es,"@EstefaniaVeloz Que onda con estas Fakeministas, por esto ahora van a querer ir a pintar, destruir y a golpear a las policías??? Porfavor no nos discrimine porque no todos los hombres somos iguales.",sexist,ideological-inequality
3556,EXIST2021,3557,twitter,es,@Paolita_ocean @fabiss84 Yo no tengo estudio pero si leo (A los) hombres creo que es = a (todos los) si no es así alguien que me explique la diferencia por favor.,non-sexist,non-sexist
3557,EXIST2021,3558,twitter,es,"#ElJuegoDeChileEnTVN - Ahora comienza “Despistados”, cuando la competencia continúa muy estrecha.  Sigue la señal en vivo https://t.co/6klJxtqFSM https://t.co/pZgu9tRHcA",non-sexist,non-sexist
3558,EXIST2021,3559,twitter,es,"@CesarAlvCa Creo que para evitar estas cosas, hombres y mujeres deberían pasar pruebas de reducciones ante personas violentas, y el/la que no las pase prohibido patrullar en la calle, sin más.Porque esto puede salir así o puede ser que al compañero incluso le cosan a puñaladas, o algo peor.",non-sexist,non-sexist
3559,EXIST2021,3560,twitter,es,Soy una guarra,non-sexist,non-sexist
3560,EXIST2021,3561,twitter,es,"Como culé, estoy hasta la polla de leer comentarios así de llorones. Defender el estilo Barça no significa tener que atacar a todos los equipos que defienden, significa querer que el Barça obligue a todos a jugar así para frenarlo. El 2-8 nos lo metieron poniendo el autobús? https://t.co/Vf9lIqRa6k",non-sexist,non-sexist
3561,EXIST2021,3562,twitter,es,"#ChaoFrenteAmplio y de paso chao partido comunista , son la escoria del mundo !!",non-sexist,non-sexist
3562,EXIST2021,3563,twitter,es,@ParejitaVeracr2 Amigo está buenísima tu mujer!! Me encantó!! Que buen par de tetas!!! Simplemente perfecta!!,sexist,objectification
